##ID,CN
ID,Info
String,string
LC_BUILD_Castle_Name,城堡
LC_BUILD_Castle_Description,城堡说明
LC_BUILD_Level,等级
LC_BUILD_BUFF_TYPE_100,部队规模
LC_BUILD_Hero_Unlock,上阵英雄
LC_BUILD_BUFF_TYPE_101,行军队列
LC_BUILD_BUFF_TYPE_102,帮助加速次数
LC_BUILD_Building_Unlock,解锁建筑
LC_BUILD_BUFF_TYPE_122,城墙耐久
LC_BUILD_Defence_Hero,守城英雄
LC_BUILD_Army_All,总部队数
LC_BUILD_Current_Food,领地粮食
LC_BUILD_BUFF_TYPE_173,粮食容量
LC_BUILD_Food_Output,每小时粮食产量
LC_BUILD_Current_Stone,领地石料
LC_BUILD_BUFF_TYPE_176,石料容量
LC_BUILD_Stone_Output,每小时石料产量
LC_BUILD_Current_Wood,领地木材
LC_BUILD_BUFF_TYPE_174,木材容量
LC_BUILD_Wood_Output,每小时木材产量
LC_BUILD_Current_Iron,领地铁矿
LC_BUILD_BUFF_TYPE_175,铁矿容量
LC_BUILD_Iron_Output,每小时铁矿产量
LC_BUILD_Current_Gold,领地金币
LC_BUILD_BUFF_TYPE_177,金币容量
LC_BUILD_Gold_Output,每小时金币产量
LC_BUILD_Military_Title,军事统计
LC_BUILD_Training_Bonus_Title,训练加成
LC_BUILD_BUFF_TYPE_116,训练速度加成
LC_BUILD_Army_Formation,部队详情
LC_BUILD_Under_Construction,建造中
LC_BUILD_Button_Construction,建造
LC_BUILD_ImmediateConstruction_Button,建造队列已满
LC_BUILD_Button_Demolish,拆除
LC_BUILD_Barracks_Name,军营
LC_BUILD_Barracks_Description,军营详细说明
LC_BUILD_Hospital_Name,医院
LC_BUILD_Hospital_Description,医院详细说明
LC_BUILD_Button_Heal,治疗
LC_BUILD_Button_InstantHeal,立即治疗
LC_BUILD_No_Injured_Army,没有任何部队需要治疗。/n在城市中受伤的部队会自动送进医院。
LC_BUILD_Button_All,全选
LC_BUILD_Button_Clear,清除
LC_BUILD_BUFF_TYPE_117,医院容量
LC_BUILD_Wall_Name,城墙
LC_BUILD_Wall_Description,城墙详细说明
LC_BUILD_Select_Hero,调整
LC_BUILD_Defence_Hero_Des,提高城堡等级可解锁守城英雄栏位！/n城防战时，领主会带领守城英雄带部队出战；若领主或守城英雄不在城内，留在领地内英雄会依照等级自动出战
LC_BUILD_Defence_Hero_Bonus,英雄加成
LC_BUILD_Wall_PutOut,灭火
LC_BUILD_Wall_Hp_Restore,耐久恢复中
LC_BUILD_ArrowTower_Name,箭塔
LC_BUILD_ArrowTower_Description,箭塔详细说明
LC_BUILD_Granary_Name,仓库
LC_BUILD_Granary_Description,仓库详细说明
LC_BUILD_Granary_Food,保护领地粮食量
LC_BUILD_Granary_Stone,保护领地石材量
LC_BUILD_Granary_Wood,保护领地木材量
LC_BUILD_Granary_Iron,保护领地铁矿量
LC_BUILD_Granary_Gold,保护领地金币量
LC_BUILD_Farm_Name,农场
LC_BUILD_Farm_Description,农场详细说明
LC_BUILD_Food_Income,粮食每小时收入
LC_BUILD_Food_Capacity,领地粮食存量
LC_BUILD_Food_Income_City,领地粮食每小时收入
LC_BUILD_Quarry_Name,采石场
LC_BUILD_Quarry_Description,采石场详细说明
LC_BUILD_Stone_Income,石材每小时收入
LC_BUILD_Stone_Capacity,领地石材存量
LC_BUILD_Stone_Income_City,领地石材每小时收入
LC_BUILD_Sawmill_Name,伐木场
LC_BUILD_Sawmill_Description,伐木场详细说明
LC_BUILD_Wood_Income,木材每小时收入
LC_BUILD_Wood_Capacity,领地木材存量
LC_BUILD_Wood_Income_City,领地木材每小时收入
LC_BUILD_Mine_Name,矿坑
LC_BUILD_Mine_Description,矿坑详细说明
LC_BUILD_Iron_Income,铁矿每小时收入
LC_BUILD_Iron_Capacity,领地铁矿存量
LC_BUILD_Iron_Income_City,领地铁矿每小时收入
LC_BUILD_Manor_Name,庄园
LC_BUILD_Manor_Description,庄园详细说明
LC_BUILD_Gold_Income,金币每小时收入
LC_BUILD_Gold_Capacity,领地金币存量
LC_BUILD_Gold_Income_City,领地金币每小时收入
LC_BUILD_Armaments_Name,军械所
LC_BUILD_Armaments_Description,军械所详细说明
LC_BUILD_Catapult_Name,投石车
LC_BUILD_Catapult_Description,投石车详细说明
LC_BUILD_ArrowBuilding_Name,箭楼
LC_BUILD_ArrowBuilding_Description,箭楼详细说明
LC_BUILD_Research_Unlock,前往研究所
LC_BUILD_Unlock_Prompt,研究所中研发箭楼后解锁
LC_BUILD_Institute_Name,研究院
LC_BUILD_Institute_Description,研究院详细说明
LC_BUILD_Workshop_Name,工坊
LC_BUILD_Workshop_Description,工坊详细说明
LC_BUILD_Equip_Title,装备
LC_BUILD_Equip_Title_1,所有装备
LC_BUILD_Equip_Title_2,特殊装备
LC_BUILD_Equip_Title_3,收藏柜
LC_BUILD_Equip_Type,装备种类
LC_BUILD_Equip_Quality,装备品质
LC_BUILD_Equip_Sort_1,排序与筛选
LC_BUILD_Equip_Sort_2,依适合等级排序
LC_BUILD_Equip_Sort_3,点击以筛选
LC_BUILD_Equip_Sort_4,不筛选
LC_BUILD_Button_Equip_Forge,锻造
LC_BUILD_Equip_Forging,锻造中
LC_BUILD_Equip_Source,来源
LC_BUILD_Equip_Jewel_Fusion,宝石合成
LC_BUILD_Equip_Sigil_Fusion,战纹合成
LC_BUILD_Equip_Material_Fusion,材料合成
LC_BUILD_Material_Decompose,分解
LC_BUILD_Embassy_Name,使馆
LC_BUILD_Embassy_Description,使馆说明
LC_BUILD_Assembly_Name,集会所
LC_BUILD_Assembly_Description,集会所说明
LC_BUILD_Market_Name,市集
LC_BUILD_Market_Description,市集说明
LC_COMMON_Infantry_T1,T1步兵
LC_COMMON_Cavalry_T1,T1骑兵
LC_COMMON_Archer_T1,T1弓兵
LC_COMMON_Infantry_T2,T2步兵
LC_COMMON_Cavalry_T2,T2骑兵
LC_COMMON_Archer_T2,T2弓兵
LC_COMMON_Infantry_T3,T3步兵
LC_COMMON_Cavalry_T3,T3骑兵
LC_COMMON_Archer_T3,T3弓兵
LC_COMMON_Infantry_T4,T4步兵
LC_COMMON_Cavalry_T4,T4骑兵
LC_COMMON_Archer_T4,T4弓兵
LC_COMMON_Original_Time,原始时间
LC_COMMON_Actual_Time,实际时间
LC_COMMON_Requirement,升级条件
LC_COMMON_Upgrade_Results,升级效果
LC_COMMON_Button_Upgrade,升级
LC_COMMON_Button_Finish,立即完成
LC_COMMON_Troops_T1,1阶部队
LC_COMMON_Troops_T2,2阶部队
LC_COMMON_Troops_T3,3阶部队
LC_COMMON_Troops_T4,4阶部队
LC_COMMON_Training_Capacity,训练兵量
LC_COMMON_Soldier_Type,兵种
LC_COMMON_Restraint_Vs,克制兵种
LC_COMMON_Countered_By,被克制
LC_COMMON_Skill,技能
LC_COMMON_Attack,攻击
LC_COMMON_Defense,防御
LC_COMMON_Health,生命
LC_COMMON_Speed,速度
LC_COMMON_Power,战斗力
LC_COMMON_Load,负重
LC_COMMON_Training_Time,训练时间
LC_COMMON_Button_Dismiss,遣散
LC_COMMON_Time,时间
LC_COMMON_Hero_QuickSelect,快速选择英雄
LC_COMMON_Button_OK,确定
LC_COMMON_Button_Close,关闭
LC_COMMON_Button_Detail,详情
LC_COMMON_Battle_Morale,士气
LC_COMMON_Alliance,联盟
LC_COMMON_Kingdom,王国
LC_COMMON_Kills,杀敌数
LC_COMMON_Alliance_Invitation,申请加入联盟
LC_COMMON_PlayersInfo,玩家信息
LC_COMMON_Rally,集结攻击
LC_COMMON_Choose_Army,选择部队
LC_COMMON_Choose_Heros,点击选择英雄
LC_COMMON_Arriving_Time,到达时间
LC_COMMON_Auto_Select,自动选择
LC_COMMON_Clear_Selection,全部清除
LC_COMMON_Battle,战斗
LC_COMMON_Total_Loss,总损失
LC_COMMON_Playback,回放
LC_COMMON_Quit,退出
LC_COMMON_City_Buff_Title,领地强化效果
LC_COMMON_City_Buff_Des,领地强化效果说明
LC_COMMON_City_Buff_Title_1,领地强化
LC_COMMON_City_Buff_Title_2,战斗狂热
LC_COMMON_City_Buff_Title_3,领地防护
LC_COMMON_City_Buff_Title_4,军事备战
LC_COMMON_City_Buff_Title_5,军事策略
LC_COMMON_City_Buff_Title_6,资源经济
LC_COMMON_CallBack,召回
LC_COMMON_Target,目标
LC_COMMON_Use,使用
LC_COMMON_Use_Item,使用道具
LC_COMMON_Buy,购买
LC_COMMON_Buy_Use,购买&使用
LC_COMMON_Returning,返回中
LC_COMMON_Own_1,拥有：
LC_COMMON_BUFF_TYPE_100,部队规模提高
LC_COMMON_BUFF_TYPE_101,行军队列增加
LC_COMMON_BUFF_TYPE_102,帮助次数
LC_COMMON_BUFF_TYPE_103,增加训练士兵数量
LC_COMMON_BUFF_TYPE_104,T1步兵资源消耗降低
LC_COMMON_BUFF_TYPE_105,T1骑兵资源消耗降低
LC_COMMON_BUFF_TYPE_106,T1弓兵资源消耗降低
LC_COMMON_BUFF_TYPE_107,T2步兵资源消耗降低
LC_COMMON_BUFF_TYPE_108,T2骑兵资源消耗降低
LC_COMMON_BUFF_TYPE_109,T2弓兵资源消耗降低
LC_COMMON_BUFF_TYPE_110,T3步兵资源消耗降低
LC_COMMON_BUFF_TYPE_111,T3骑兵资源消耗降低
LC_COMMON_BUFF_TYPE_112,T3弓兵资源消耗降低
LC_COMMON_BUFF_TYPE_113,T4步兵资源消耗降低
LC_COMMON_BUFF_TYPE_114,T4骑兵资源消耗降低
LC_COMMON_BUFF_TYPE_115,T4弓兵资源消耗降低
LC_COMMON_BUFF_TYPE_116,训练加速
LC_COMMON_BUFF_TYPE_117,医院容量
LC_COMMON_BUFF_TYPE_118,医院治疗速度提高
LC_COMMON_BUFF_TYPE_119,治疗减耗
LC_COMMON_BUFF_TYPE_120,仓库保护量
LC_COMMON_BUFF_TYPE_121,仓库保护量上限
LC_COMMON_BUFF_TYPE_122,城墙耐久度上限
LC_COMMON_BUFF_TYPE_123,城墙耐久度加成
LC_COMMON_BUFF_TYPE_124,城墙耐久恢复加成
LC_COMMON_BUFF_TYPE_125,城墙防御
LC_COMMON_BUFF_TYPE_126,箭塔攻击
LC_COMMON_BUFF_TYPE_127,箭塔防御
LC_COMMON_BUFF_TYPE_128,箭塔生命
LC_COMMON_BUFF_TYPE_129,行军速度加成
LC_COMMON_BUFF_TYPE_130,采集行军速度加成
LC_COMMON_BUFF_TYPE_131,讨伐1行军速度加成
LC_COMMON_BUFF_TYPE_132,讨伐2行军速度加成
LC_COMMON_BUFF_TYPE_133,参与集结行军速度加成
LC_COMMON_BUFF_TYPE_134,集结PVE目标行军速度加成
LC_COMMON_BUFF_TYPE_135,采集加速
LC_COMMON_BUFF_TYPE_136,军团负重
LC_COMMON_BUFF_TYPE_137,死亡士兵转换为伤兵
LC_COMMON_BUFF_TYPE_138,行动力上限
LC_COMMON_BUFF_TYPE_139,行动力减耗
LC_COMMON_BUFF_TYPE_140,行动力恢复加速
LC_COMMON_BUFF_TYPE_141,步兵攻击
LC_COMMON_BUFF_TYPE_142,步兵防御
LC_COMMON_BUFF_TYPE_143,步兵生命
LC_COMMON_BUFF_TYPE_144,骑兵攻击
LC_COMMON_BUFF_TYPE_145,骑兵防御
LC_COMMON_BUFF_TYPE_146,骑兵生命
LC_COMMON_BUFF_TYPE_147,弓兵攻击
LC_COMMON_BUFF_TYPE_148,弓兵防御
LC_COMMON_BUFF_TYPE_149,弓兵生命
LC_COMMON_BUFF_TYPE_150,投石车攻击加成
LC_COMMON_BUFF_TYPE_151,投石车御加成
LC_COMMON_BUFF_TYPE_152,投石车生命加成
LC_COMMON_BUFF_TYPE_153,箭楼攻击加成
LC_COMMON_BUFF_TYPE_154,箭楼防御加成
LC_COMMON_BUFF_TYPE_155,箭楼生命加成
LC_COMMON_BUFF_TYPE_156,军团攻击
LC_COMMON_BUFF_TYPE_157,军团防御
LC_COMMON_BUFF_TYPE_158,军团生命
LC_COMMON_BUFF_TYPE_159,军械攻击
LC_COMMON_BUFF_TYPE_160,全体军械防御加成
LC_COMMON_BUFF_TYPE_161,全体军械生命加成
LC_COMMON_BUFF_TYPE_162,降低进攻方攻击(防守时有效）
LC_COMMON_BUFF_TYPE_163,降低进攻方防御(防守时有效）
LC_COMMON_BUFF_TYPE_164,降低进攻方生命(防守时有效）
LC_COMMON_BUFF_TYPE_165,降低敌方攻击
LC_COMMON_BUFF_TYPE_166,降低敌方防御
LC_COMMON_BUFF_TYPE_167,降低敌方生命
LC_COMMON_BUFF_TYPE_168,粮食产量
LC_COMMON_BUFF_TYPE_169,石头产量提高
LC_COMMON_BUFF_TYPE_170,木材产量提高
LC_COMMON_BUFF_TYPE_171,铁矿产量提高
LC_COMMON_BUFF_TYPE_172,金币产量
LC_COMMON_BUFF_TYPE_173,粮食容量提高
LC_COMMON_BUFF_TYPE_174,木材容量提高
LC_COMMON_BUFF_TYPE_175,铁矿容量提高
LC_COMMON_BUFF_TYPE_176,石头容量提高
LC_COMMON_BUFF_TYPE_177,金币容量提高
LC_COMMON_BUFF_TYPE_178,研发速度
LC_COMMON_BUFF_TYPE_179,建造速度
LC_COMMON_BUFF_TYPE_180,统御经验加成
LC_COMMON_BUFF_TYPE_181,战争狂热
LC_COMMON_BUFF_TYPE_182,护盾
LC_COMMON_BUFF_TYPE_183,反侦察
LC_COMMON_BUFF_TYPE_184,疑兵
LC_COMMON_BUFF_TYPE_185,讨伐2（军团pve）伤害
LC_COMMON_BUFF_TYPE_186,猎魔伤害
LC_COMMON_BUFF_TYPE_187,猎魔行动力恢复
LC_COMMON_BUFF_TYPE_188,猎魔行动力上限
LC_COMMON_BUFF_TYPE_189,猎魔行动力减耗
LC_COMMON_BUFF_TYPE_190,猎魔连击数
LC_COMMON_BUFF_TYPE_191,猎魔战英雄生命加成
LC_COMMON_BUFF_TYPE_192,猎魔战治疗效果加成
LC_COMMON_BUFF_TYPE_193,猎魔战英雄初始怒气加成
LC_COMMON_BUFF_TYPE_194,侦查
LC_COMMON_BUFF_TYPE_195,装备锻造速度提高
LC_COMMON_BUFF_TYPE_196,减少燃烧时间
LC_COMMON_BUFF_TYPE_197,提高防御部队攻防血
LC_COMMON_BUFF_TYPE_198,集结部队上限
LC_COMMON_BUFF_TYPE_199,集结部队攻击力
LC_COMMON_BUFF_TYPE_200,援军部队上限
LC_COMMON_BUFF_TYPE_201,增援行军速度
LC_COMMON_BUFF_TYPE_202,运输速度加成
LC_COMMON_BUFF_TYPE_203,天赋记忆组合数量
LC_COMMON_BUFF_TYPE_204,解锁T2步兵
LC_COMMON_BUFF_TYPE_205,解锁T2骑兵
LC_COMMON_BUFF_TYPE_206,解锁T2弓兵
LC_COMMON_BUFF_TYPE_207,解锁T3步兵
LC_COMMON_BUFF_TYPE_208,解锁T3骑兵
LC_COMMON_BUFF_TYPE_209,解锁T3弓兵
LC_COMMON_BUFF_TYPE_210,解锁T4步兵
LC_COMMON_BUFF_TYPE_211,解锁T4骑兵
LC_COMMON_BUFF_TYPE_212,解锁T4弓兵
LC_COMMON_BUFF_TYPE_213,解锁箭塔
LC_COMMON_BUFF_TYPE_214,水晶矿采集速度
LC_COMMON_BUFF_TYPE_215,解锁箭楼
LC_COMMON_BUFF_TYPE_216,军械升级速度提高
LC_COMMON_BUFF_TYPE_217,投石车升级资源消耗降低
LC_COMMON_BUFF_TYPE_218,箭楼升级资源消耗降低
LC_COMMON_BUFF_TYPE_219,军营训练兵量
LC_COMMON_BUFF_TYPE_220,医院容量
LC_COMMON_BUFF_TYPE_221,快速换装组合上限
LC_COMMON_TALENT_NAME_1,部队攻击I
LC_COMMON_TALENT_NAME_2,部队训练I
LC_COMMON_TALENT_NAME_3,骑兵攻击I
LC_COMMON_TALENT_NAME_4,步兵攻击I
LC_COMMON_TALENT_NAME_5,弓兵攻击I
LC_COMMON_TALENT_NAME_6,医疗
LC_COMMON_TALENT_NAME_7,投石车攻击I
LC_COMMON_TALENT_NAME_8,箭楼攻击I
LC_COMMON_TALENT_NAME_9,军团防御I
LC_COMMON_TALENT_NAME_10,军团生命I
LC_COMMON_TALENT_NAME_11,骑兵攻击II
LC_COMMON_TALENT_NAME_12,步兵攻击II
LC_COMMON_TALENT_NAME_13,弓兵攻击II
LC_COMMON_TALENT_NAME_14,部队训练II
LC_COMMON_TALENT_NAME_15,投石车攻击II
LC_COMMON_TALENT_NAME_16,箭楼攻击II
LC_COMMON_TALENT_NAME_17,骑兵攻击III
LC_COMMON_TALENT_NAME_18,步兵攻击III
LC_COMMON_TALENT_NAME_19,弓兵攻击III
LC_COMMON_TALENT_NAME_20,军团防御II
LC_COMMON_TALENT_NAME_21,军团生命II
LC_COMMON_TALENT_NAME_22,粮食产量I
LC_COMMON_TALENT_NAME_23,岩石产量I
LC_COMMON_TALENT_NAME_24,建造速度I
LC_COMMON_TALENT_NAME_25,研究速度I
LC_COMMON_TALENT_NAME_26,木材产量I
LC_COMMON_TALENT_NAME_27,铁矿产量I
LC_COMMON_TALENT_NAME_28,金币产量I
LC_COMMON_TALENT_NAME_29,粮食产量II
LC_COMMON_TALENT_NAME_30,负重I
LC_COMMON_TALENT_NAME_31,采集速度I
LC_COMMON_TALENT_NAME_32,岩石产量II
LC_COMMON_TALENT_NAME_33,木材产量II
LC_COMMON_TALENT_NAME_34,建造速度II
LC_COMMON_TALENT_NAME_35,铁矿产量II
LC_COMMON_TALENT_NAME_36,研究速度II
LC_COMMON_TALENT_NAME_37,金币产量II
LC_COMMON_TALENT_NAME_38,粮食产量III
LC_COMMON_TALENT_NAME_39,岩石产量III
LC_COMMON_TALENT_NAME_40,负重II
LC_COMMON_TALENT_NAME_41,采集速度II
LC_COMMON_TALENT_NAME_42,木材产量III
LC_COMMON_TALENT_NAME_43,铁矿产量III
LC_COMMON_TALENT_NAME_44,金币产量III
LC_COMMON_TALENT_UNLOCK_D,需要{0}达到Lv{1}
LC_COMMON_TALENT_RESET_ERROR1,无可重置的点数！
LC_COMMON_Army_Gathering_1,采集军团
LC_COMMON_Army_Gathering_2,采集中
LC_COMMON_Army_Gathering_3,采集军团返回
LC_COMMON_Army_Reinforce_1,增援军团
LC_COMMON_Army_Reinforce_2,增援中
LC_COMMON_Army_Reinforce_3,增援军团返回
LC_COMMON_Army_Cantonment_1,驻扎军团
LC_COMMON_Army_Cantonment_2,驻扎中
LC_COMMON_Army_Cantonment_3,驻扎军团返回
LC_COMMON_Army_Transport_1,运输军团
LC_COMMON_Army_Transport_3,运输军团返回
LC_COMMON_Army_Scout_1,侦查军团
LC_COMMON_Army_Scout_3,侦查军团返回
LC_COMMON_Army_Attack_1,攻击军团
LC_COMMON_Army_Attack_3,攻击军团返回
LC_COMMON_Army_Hunting_1,猎杀队伍
LC_COMMON_Army_Hunting_3,猎杀队伍返回
LC_COMMON_Army_Assembly_1,集结军团
LC_COMMON_Army_Assembly_2,集结中
LC_COMMON_Army_Assembly_3,集结军团返回
LC_COMMON_AccessorySlot_Unlock_2,锻造厂17级可解锁第二饰品栏
